test_idx,sharpe
0,1.8152296257593947
1,1.6313180203367146
2,2.1051498475187698
3,1.7818990262706416
4,2.052681157612274
5,1.726728168579895
6,1.7937052039430863
7,2.283363977037208
8,1.867539261510688
9,1.9163752329857064
10,1.8139488401644133
11,1.741584618339362
12,2.4788513861247417
13,1.7969436171697628
14,2.1986476328260496
15,1.4774135037230314
16,1.5962449784699697
17,2.0888157221703163
18,1.747913527561802
19,1.811458951283908
20,1.5388568868828216
21,1.945683294899016
22,2.617176003950419
23,1.7287321625285714
24,2.050991344026849
25,1.251071311144746
26,1.847335206340912
27,2.237017317133941
28,1.7974474324159226
29,2.259247178601325
30,1.257436610954362
31,1.8712562128507255
32,2.3195060033766755
33,1.5161297451160052
34,1.9048060943424987
